dg_id,player_name
19872,"Riley, Davis"
19895,"Schauffele, Xander"
19898,"Paul, Yannik"
19936,"Schaake, Carson"
19946,"Rank, Garrett"
19948,"Taylor, Ben"
19955,"Pereira, Corey"
19960,"Pavon, Matthieu"
20344,"Polland, Ben"
20448,"Katsuragawa, Yuto"
20519,"Tarren, Callum"
20522,"Veerman, Johannes"
20668,"Carey, David"
20706,"Wallace, Matt"
20722,"Schmid, Matti"
20730,"Perez, Victor"
20770,"Munoz, Sebastian"
20780,"Kim, Minkyu"
20843,"Cianchetti, Luca"
20954,"Hirata, Kensei"
20972,"Benitez, Isidro"
21074,"Nakajima, Keita"
21135,"Love, Dru"
21236,"Bryan, Wesley"
21237,"Hickok, Kramer"
21310,"Danielson, Charlie"
21362,"Hillier, Daniel"
21407,"Reitan, Kristoffer"
21412,"Capan III, Frankie"
21501,"Dalke, Brad"
21554,"Poston, J.T."
21646,"Ferguson, Ewen"
21688,"Kim, S.H."
21756,"Cole, Eric"
21875,"Widing, Tim"
21886,"Geddes, Mark"
21891,"Kitayama, Kurt"
21900,"Robledo, Roman"
21943,"Lebioda, Hank"
21944,"Moore, Taylor"
21993,"Barbaree, Philip"
21995,"Springer, Hayden"
22002,"Dumont de Chassart, Adrien"
22043,"Crawford, Chris"
22045,"Mueller, Kyle"
22050,"Suh, Justin"
22051,"Wise, Aaron"
22085,"Morikawa, Collin"
22089,"Syme, Connor"
22134,"Hodkinson, Adam"
22169,"Rohwer, Martin"
22170,"Turner, Ashton"
22210,"Thomson, Jon"
22253,"Gregory, Scott"
22259,"Rey, Alejandro Del"
22303,"Worthington II, Wyatt"
22465,"Penge, Marco"
22499,"Plant, Alfie"
22535,"Norrman, Vincent"
22738,"Morgan, Jediah"
22760,"Hisatsune, Ryo"
22833,"Echavarria, Nico"
22912,"Rebula, Jovan"
22914,"Grant, Brent"
22916,"Pigman, Kenny"
22957,"Michel, Lukas"
22981,"Matthews, Brandon"
22985,"Smotherman, Austin"
22988,"Zaback, Zach"
22994,"Magnus, Haraldur"
23014,"Theegala, Sahith"
23048,"Stanger, Jimmy"
23113,"Hagestad, Stewart"
23133,"Russell, Casey"
23138,"Gazzolo, David"
23236,"Arnaus, Adri"
23244,"Bring, Christoffer"
23323,"MacIntyre, Robert"
23418,"Sugrue, James"
23454,"Bowser, Evan"
23465,"Greyserman, Max"
23475,"Novak, Andrew"
23482,"Sigg, Greyson"
23502,"Thornberry, Braden"
23505,"McGreevy, Max"
23540,"Andersen, Mason"
23541,"Campbell, Matthew"
23542,"Champ, Cameron"
23543,"Lee, Walker"
23549,"Celli, Filippo"
23574,"Dietrich, Eric"
23599,"Westmoreland, Kyle"
23602,"Hojgaard, Nicolai"
23604,"Clark, Wyndham"
23606,"Meyer, Dylan"
23610,"Crocker, Sean"
23622,"Nyfjall, David"
23656,"Young, Carson"
23657,"Babcock, Chris"
23708,"Scott, Sandy"
23726,"Ellis, Harry"
23816,"Valimaki, Sami"
23838,"Hojgaard, Rasmus"
23853,"Beach, Alex"
23854,"Hansen, Jaysen"
23855,"Moody, Chris"
23856,"Wood, JJ"
23892,"Gumberg, Jordan"
23950,"Aberg, Ludvig"
23951,"Barker, Kyle"
24172,"McKinney, Connor"
24185,"Mansell, Richard"
24280,"Crowe, Harrison"
24294,"Fernandez de Oliveira, Mateo"
24298,"Kho, Taichi"
24303,"Reiter, Charlie"
24304,"Vilips, Karl"
24342,"Higgo, Garrick"
24343,"Lamprecht, Christo"
24356,"De Los Santos, Justin"
24369,"Kobori, Kazuma"
24424,"Filbert, Andrew"
24450,"Strafaci, Tyler"
24481,"Redman, Doc"
24486,"Cook, Ben"
24489,"French, Chris"
24497,"Robinson-Thompson, Brandon"
24550,"Ghim, Doug"
24551,"Parziale, Matt"
24584,"Droemer, Jesse"
